year,month,date_of_month,day_of_week,births
2007,2,16,5,12119
2007,2,17,6,8474
2007,2,18,7,7422
2007,2,19,1,10356
2007,2,20,2,12113
2007,2,21,3,12206
2007,2,22,4,12234
2007,2,23,5,12040
2007,2,24,6,8491
2007,2,25,7,7646
2007,2,26,1,11073
2007,2,27,2,12068
2007,2,28,3,11921
2007,3,1,4,12263
2007,3,2,5,12128
2007,3,3,6,8761
2007,3,4,7,7675
2007,3,5,1,11182
2007,3,6,2,12052
2007,3,7,3,12094
2007,3,8,4,12194
2007,3,9,5,12242
2007,3,10,6,8679
2007,3,11,7,7564
2007,3,12,1,11366
2007,3,13,2,12273
2007,3,14,3,12367
2007,3,15,4,12286
2007,3,16,5,12248
2007,3,17,6,8850
2007,3,18,7,7399
2007,3,19,1,11099
2007,3,20,2,12574
2007,3,21,3,12394
2007,3,22,4,12262
2007,3,23,5,12213
2007,3,24,6,8683
2007,3,25,7,7689
2007,3,26,1,11042
2007,3,27,2,12328
2007,3,28,3,12175
2007,3,29,4,12166
2007,3,30,5,11855
2007,3,31,6,8581
2007,4,1,7,7037
2007,4,2,1,11430
2007,4,3,2,12578
2007,4,4,3,12409
2007,4,5,4,12233
2007,4,6,5,12221
2007,4,7,6,8626
2007,4,8,7,7594
2007,4,9,1,11349
2007,4,10,2,12745
2007,4,11,3,12631
2007,4,12,4,12511
2007,4,13,5,10741
2007,4,14,6,8102
2007,4,15,7,7080
2007,4,16,1,11002
2007,4,17,2,12636
2007,4,18,3,12151
2007,4,19,4,11942
2007,4,20,5,12047
2007,4,21,6,8671
2007,4,22,7,7643
2007,4,23,1,11462
2007,4,24,2,12720
2007,4,25,3,12444
2007,4,26,4,12309
2007,4,27,5,12154
2007,4,28,6,8474
2007,4,29,7,7481
2007,4,30,1,11190
2007,5,1,2,12745
2007,5,2,3,12289
2007,5,3,4,12302
2007,5,4,5,12062
2007,5,5,6,8632
2007,5,6,7,7861
2007,5,7,1,11432
2007,5,8,2,12751
2007,5,9,3,12225
2007,5,10,4,12398
2007,5,11,5,12117
2007,5,12,6,8537
2007,5,13,7,7370
2007,5,14,1,11343
2007,5,15,2,12829
2007,5,16,3,12373
2007,5,17,4,12426
2007,5,18,5,12132
2007,5,19,6,8658
2007,5,20,7,7597
2007,5,21,1,11398
2007,5,22,2,12785
2007,5,23,3,12662
2007,5,24,4,12932
2007,5,25,5,12504
2007,5,26,6,8790
2007,5,27,7,7409
2007,5,28,1,7810
2007,5,29,2,11754
2007,5,30,3,13112
2007,5,31,4,12782
2007,6,1,5,12426
2007,6,2,6,8753
2007,6,3,7,7762
2007,6,4,1,11239
2007,6,5,2,12401
2007,6,6,3,12507
2007,6,7,4,12333
2007,6,8,5,12231
2007,6,9,6,8604
2007,6,10,7,7559
2007,6,11,1,11521
2007,6,12,2,12894
2007,6,13,3,12102
2007,6,14,4,12429
2007,6,15,5,12192
2007,6,16,6,8631
2007,6,17,7,7607
2007,6,18,1,11559
2007,6,19,2,12517
2007,6,20,3,12452
2007,6,21,4,12323
2007,6,22,5,12068
2007,6,23,6,8304
2007,6,24,7,7501
2007,6,25,1,11363
2007,6,26,2,12638
2007,6,27,3,12560
2007,6,28,4,12830
2007,6,29,5,12683
2007,6,30,6,9096
2007,7,1,7,7953
2007,7,2,1,12154
2007,7,3,2,13081
2007,7,4,3,9450
2007,7,5,4,12264
2007,7,6,5,12901
2007,7,7,6,9357
2007,7,8,7,8121
2007,7,9,1,11794
2007,7,10,2,13317
2007,7,11,3,12690
2007,7,12,4,12949
2007,7,13,5,11978
2007,7,14,6,9112
2007,7,15,7,7922
2007,7,16,1,12160
2007,7,17,2,13357
2007,7,18,3,12970
2007,7,19,4,13031
2007,7,20,5,12697
2007,7,21,6,9189
2007,7,22,7,7961
2007,7,23,1,11836
2007,7,24,2,13239
2007,7,25,3,12785
2007,7,26,4,12784
2007,7,27,5,12441
2007,7,28,6,8952
2007,7,29,7,7787
2007,7,30,1,11912
2007,7,31,2,12903
2007,8,1,3,12654
2007,8,2,4,12846
2007,8,3,5,12619
2007,8,4,6,8993
2007,8,5,7,7948
2007,8,6,1,11735
2007,8,7,2,13198
2007,8,8,3,12884
